Indiv.ID,Activity,Assay,Personality.Assign
090718_125,87,1.Foraging,Bold
090718_125,70,2.NovelObj,Bold
090718_125,87,3.PredationRisk,Bold
090718_126,2,1.Foraging,Shy
090718_126,19,2.NovelObj,Shy
090718_126,0,3.PredationRisk,Shy
090718_127,23,1.Foraging,Shy
090718_127,17,2.NovelObj,Shy
090718_127,28.2,3.PredationRisk,Shy
090718_129,104,1.Foraging,NA
090718_129,134,2.NovelObj,NA
090718_129,17,3.PredationRisk,NA
090718_13,73,1.Foraging,Continuous
090718_13,6,2.NovelObj,Continuous
090718_13,28,3.PredationRisk,Continuous
090718_131,2,1.Foraging,Shy
090718_131,7,2.NovelObj,Shy
090718_131,33.7,3.PredationRisk,Shy
090718_132,101,1.Foraging,Bold
090718_132,55,2.NovelObj,Bold
090718_132,82,3.PredationRisk,Bold
090718_133,8.1,1.Foraging,Shy
090718_133,51.55,2.NovelObj,Shy
090718_133,0,3.PredationRisk,Shy
090718_134,59,1.Foraging,Bold
090718_134,75,2.NovelObj,Bold
090718_134,65,3.PredationRisk,Bold
090718_135,43,1.Foraging,Shy
090718_135,0,2.NovelObj,Shy
090718_135,32,3.PredationRisk,Shy
090718_136,49,1.Foraging,NA
090718_136,0,2.NovelObj,NA
090718_136,31.8,3.PredationRisk,NA
090718_137,53,1.Foraging,Continuous
090718_137,19.5,2.NovelObj,Continuous
090718_137,31.8,3.PredationRisk,Continuous
090718_138,95,1.Foraging,Bold
090718_138,114,2.NovelObj,Bold
090718_138,32,3.PredationRisk,Bold
090718_139,99,1.Foraging,Bold
090718_139,70,2.NovelObj,Bold
090718_139,32,3.PredationRisk,Bold
090718_14,0,1.Foraging,Shy
090718_14,11,2.NovelObj,Shy
090718_14,0,3.PredationRisk,Shy
090718_140,88,1.Foraging,Continuous
090718_140,0,2.NovelObj,Continuous
090718_140,32,3.PredationRisk,Continuous
090718_141,101,1.Foraging,Continuous
090718_141,12,2.NovelObj,Continuous
090718_141,41,3.PredationRisk,Continuous
090718_145,58,1.Foraging,Continuous
090718_145,36,2.NovelObj,Continuous
090718_145,55,3.PredationRisk,Continuous
090718_15,21,1.Foraging,Shy
090718_15,48.5,2.NovelObj,Shy
090718_15,0,3.PredationRisk,Shy
090718_152,34,1.Foraging,Shy
090718_152,0,2.NovelObj,Shy
090718_152,0,3.PredationRisk,Shy
090718_153,0,1.Foraging,Continuous
090718_153,71,2.NovelObj,Continuous
090718_153,18,3.PredationRisk,Continuous
090718_154,27.5,1.Foraging,Shy
090718_154,17.5,2.NovelObj,Shy
090718_154,17,3.PredationRisk,Shy
090718_16,31,1.Foraging,Continuous
090718_16,81,2.NovelObj,Continuous
090718_16,25,3.PredationRisk,Continuous
090718_17,47,1.Foraging,Continuous
090718_17,0,2.NovelObj,Continuous
090718_17,66,3.PredationRisk,Continuous
090718_18,5,1.Foraging,NA
090718_18,28,2.NovelObj,NA
090718_18,51.2,3.PredationRisk,NA
090718_25,57,1.Foraging,CHECK
090718_25,8,2.NovelObj,CHECK
090718_25,1,3.PredationRisk,CHECK
090718_26,39.25,1.Foraging,NA
090718_26,28,2.NovelObj,NA
090718_26,1,3.PredationRisk,NA
090718_27,38.28,1.Foraging,Continuous
090718_27,56.25,2.NovelObj,Continuous
090718_27,1,3.PredationRisk,Continuous
090718_28,80,1.Foraging,Bold
090718_28,87,2.NovelObj,Bold
090718_28,1,3.PredationRisk,Bold
090718_29,20,1.Foraging,Shy
090718_29,0,2.NovelObj,Shy
090718_29,1,3.PredationRisk,Shy
090718_37,35,1.Foraging,Bold
090718_37,104,2.NovelObj,Bold
090718_37,52,3.PredationRisk,Bold
090718_38,2,1.Foraging,Shy
090718_38,0,2.NovelObj,Shy
090718_38,0,3.PredationRisk,Shy
090718_39,20.4,1.Foraging,NA
090718_39,10,2.NovelObj,NA
090718_39,47,3.PredationRisk,NA
090718_40,0,1.Foraging,Bold
090718_40,71,2.NovelObj,Bold
090718_40,128,3.PredationRisk,Bold
090718_41,24,1.Foraging,Continuous
090718_41,33,2.NovelObj,Continuous
090718_41,101,3.PredationRisk,Continuous
090718_42,51,1.Foraging,Bold
090718_42,93,2.NovelObj,Bold
090718_42,80,3.PredationRisk,Bold
090718_43,0,1.Foraging,Shy
090718_43,20,2.NovelObj,Shy
090718_43,42,3.PredationRisk,Shy
090718_44,106,1.Foraging,Bold
090718_44,38,2.NovelObj,Bold
090718_44,72,3.PredationRisk,Bold
090718_46,107,1.Foraging,Bold
090718_46,53,2.NovelObj,Bold
090718_46,85,3.PredationRisk,Bold
090718_47,0,1.Foraging,Shy
090718_47,19.3,2.NovelObj,Shy
090718_47,19.18,3.PredationRisk,Shy
090718_48,52,1.Foraging,Shy
090718_48,2,2.NovelObj,Shy
090718_48,3,3.PredationRisk,Shy
090718_50,45.5,1.Foraging,Continuous
090718_50,24,2.NovelObj,Continuous
090718_50,38,3.PredationRisk,Continuous
090718_51,121,1.Foraging,Bold
090718_51,99,2.NovelObj,Bold
090718_51,58,3.PredationRisk,Bold
090718_52,75,1.Foraging,Bold
090718_52,75,2.NovelObj,Bold
090718_52,86,3.PredationRisk,Bold
090718_54,81,1.Foraging,Continuous
090718_54,0,2.NovelObj,Continuous
090718_54,69,3.PredationRisk,Continuous
090718_55,76,1.Foraging,Bold
090718_55,0,2.NovelObj,Bold
090718_55,127,3.PredationRisk,Bold
090718_56,17,1.Foraging,Shy
090718_56,7,2.NovelObj,Shy
090718_56,37,3.PredationRisk,Shy
090718_57,11,1.Foraging,Shy
090718_57,7,2.NovelObj,Shy
090718_57,0,3.PredationRisk,Shy
090718_58,28,1.Foraging,Continuous
090718_58,69,2.NovelObj,Continuous
090718_58,47,3.PredationRisk,Continuous
090718_59,1,1.Foraging,Shy
090718_59,0,2.NovelObj,Shy
090718_59,1.4,3.PredationRisk,Shy
090718_60,6.8,1.Foraging,Shy
090718_60,0,2.NovelObj,Shy
090718_60,0,3.PredationRisk,Shy
090718_61,34.1,1.Foraging,Shy
090718_61,0,2.NovelObj,Shy
090718_61,1,3.PredationRisk,Shy
090718_62,2,1.Foraging,Continuous
090718_62,106,2.NovelObj,Continuous
090718_62,56,3.PredationRisk,Continuous
090718_63,2,1.Foraging,Shy
090718_63,14.3,2.NovelObj,Shy
090718_63,3,3.PredationRisk,Shy
090718_69,61,1.Foraging,Bold
090718_69,62,2.NovelObj,Bold
090718_69,81,3.PredationRisk,Bold
090718_7,61,1.Foraging,Bold
090718_7,50,2.NovelObj,Bold
090718_7,56,3.PredationRisk,Bold
090718_71,13,1.Foraging,Shy
090718_71,0,2.NovelObj,Shy
090718_71,17,3.PredationRisk,Shy
090718_72,0,1.Foraging,Shy
090718_72,25.7,2.NovelObj,Shy
090718_72,17,3.PredationRisk,Shy
090718_77,4,1.Foraging,Shy
090718_77,6,2.NovelObj,Shy
090718_77,0,3.PredationRisk,Shy
090718_78,142,1.Foraging,Bold
090718_78,55,2.NovelObj,Bold
090718_78,58,3.PredationRisk,Bold
090718_79,141,1.Foraging,Bold
090718_79,113,2.NovelObj,Bold
090718_79,80,3.PredationRisk,Bold
090718_8,41,1.Foraging,Continuous
090718_8,30,2.NovelObj,Continuous
090718_8,23,3.PredationRisk,Continuous
090718_81,35,1.Foraging,Plastic
090718_81,63,2.NovelObj,Plastic
090718_81,17,3.PredationRisk,Plastic
090718_87,58,1.Foraging,Shy
090718_87,2,2.NovelObj,Shy
090718_87,3,3.PredationRisk,Shy
090718_88,86,1.Foraging,Bold
090718_88,99,2.NovelObj,Bold
090718_88,65,3.PredationRisk,Bold
090718_89,9,1.Foraging,Bold
090718_89,50,2.NovelObj,Bold
090718_89,7,3.PredationRisk,Bold
090718_9,17,1.Foraging,Shy
090718_9,25,2.NovelObj,Shy
090718_9,3,3.PredationRisk,Shy
090718_90,79,1.Foraging,Continuous
090718_90,9,2.NovelObj,Continuous
090718_90,50,3.PredationRisk,Continuous
090718_92,0,1.Foraging,NA
090718_92,9,2.NovelObj,NA
090718_92,0,3.PredationRisk,NA
090718_93,36,1.Foraging,Continuous
090718_93,29,2.NovelObj,Continuous
090718_93,68,3.PredationRisk,Continuous
090718_94,60,1.Foraging,Continuous
090718_94,1,2.NovelObj,Continuous
090718_94,34,3.PredationRisk,Continuous
090718_98,37,1.Foraging,Continuous
090718_98,38,2.NovelObj,Continuous
090718_98,14,3.PredationRisk,Continuous
090718_99,102,1.Foraging,Bold
090718_99,3,2.NovelObj,Bold
090718_99,107,3.PredationRisk,Bold
